ClaimNumber,DateReceived,IncidentDate,AirportCode,AirportName,AirlineName,ClaimType,ClaimSite,ItemCategory,CloseAmount,Disposition,Lat,Long,-,Audio/Video,Automobile Parts & Accessories,Baggage/Cases/Purses,"Books, Magazines & Other",Cameras,Clothing,Computer & Accessories,Cosmetics & Grooming,Crafting & Hobby,Currency,Food & Drink,Home Decor,Household Items,Hunting & Fishing Items,Jewelry & Watches,Medical/Science,Musical Instruments & Accessories,Office Equipment & Supplies,Other,Outdoor Items,Personal Accessories,Personal Documents,Personal Electronics,Personal Navigation,Sporting Equipment & Supplies,Tools & Home Improvement Supplies,Toys & Games,Travel Accessories
2015030000000,30-Mar-15,26-Mar-15,YUM,Yuma International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,$40.00 ,0,32.656578,-114.60598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015040000000,21-Apr-15,15-Mar-15,YUM,Yuma International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Other,$149.99 ,0,32.656578,-114.60598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015040000000,27-Apr-15,22-Apr-15,YUM,Yuma International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,$0.00 ,1,32.656578,-114.60598,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015050000000,27-Apr-15,25-Apr-15,YUM,Yuma International Airport,USAir  ,Property Damage,Checked Baggage,-,-,1,32.656578,-114.60598,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015050000000,13-May-15,18-Apr-15,YUM,Yuma International Airport,USAir  ,Property Damage,Checked Baggage,-,$46.51 ,0,32.656578,-114.60598,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015080000000,3-Aug-15,19-Mar-15,YUM,Yuma International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,$106.99 ,0,32.656578,-114.60598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015100000000,1-Oct-15,30-Sep-15,YUM,Yuma International Airport,American Airlines  ,Passenger Property Loss,Checkpoint,Currency,$0.00 ,1,32.656578,-114.60598,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015020000000,24-Feb-15,13-Feb-15,YNG,Youngstown-Warren Regional,Allegiant Air,Property Damage,Checkpoint,Personal Electronics,$106.00 ,0,41.260736,-80.679097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015070000000,13-Jul-15,6-Jul-15,YNG,Youngstown-Warren Regional,Allegiant Air,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,$0.00 ,1,41.260736,-80.679097,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015080000000,30-Jul-15,20-Jul-15,YNG,Youngstown-Warren Regional,Allegiant Air,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Travel Accessories,$3.00 ,0,41.260736,-80.679097,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
